user_id,retweet_user_id,screen_name,retweet_screen_name,retweet_created_at,text,time
x840306992854028288,x560463321,elijahgenicot,JUJARE56,2020/1/13 9:42,"L'#Australie est un pays situÃ© prÃ¨s du trou de la couche d'ozone.
Son gouvernement privilÃ©gie le charbon Ã  la lutte contre le #rÃ©chauffementclimatique et Ã  la protection de la faune...
#AustralianBushfire https://t.co/BoZQe0HOY7",2020/1/13 9:42
x141009810,x2913678013,imagine_garden,thewoman62,2020/1/13 9:47,Same w/California fires but something #GlobalWarming activist don't want people to know the TRUTH about. #AustralianBushfire https://t.co/pa4w6CJ85V,2020/1/13 9:47
x803132614143946752,x388708143,Sally8229650811,Cat_Kapow,2020/1/13 12:23,"Thank you from #Australia <U+0001F1E6><U+0001F1FA><U+0001F428><U+0001F494>to #koalasofnyc 
for fundraising campaign to help #koalas &amp; other Australian wildlife devastated in #AustralianBushfire  <U+0001F63F><U+0001F62D>
#NewYorkCity being asked to  help #DonateForAustralia <U+0001F428><U+0001F64F>
https://t.co/KiFfan1jk7",2020/1/13 12:23
x1135332447254589440,x388708143,VanArienne,Cat_Kapow,2020/1/13 12:23,"Thank you from #Australia <U+0001F1E6><U+0001F1FA><U+0001F428><U+0001F494>to #koalasofnyc 
for fundraising campaign to help #koalas &amp; other Australian wildlife devastated in #AustralianBushfire  <U+0001F63F><U+0001F62D>
#NewYorkCity being asked to  help #DonateForAustralia <U+0001F428><U+0001F64F>
https://t.co/KiFfan1jk7",2020/1/13 12:23
x1181233885167923200,x388708143,goth_vegan,Cat_Kapow,2020/1/13 12:23,"Thank you from #Australia <U+0001F1E6><U+0001F1FA><U+0001F428><U+0001F494>to #koalasofnyc 
for fundraising campaign to help #koalas &amp; other Australian wildlife devastated in #AustralianBushfire  <U+0001F63F><U+0001F62D>
#NewYorkCity being asked to  help #DonateForAustralia <U+0001F428><U+0001F64F>
https://t.co/KiFfan1jk7",2020/1/13 12:23
x62541585,x62541585,Piers_Corbyn,Piers_Corbyn,2020/1/13 13:23,"As #StormBrendan STRIKES
#PREPARE MORE EXTREMES
 
*NEW* DEALS 
HURRY *3FOR1* for 45d30d #Forecasts+more!
 
#SubscribeNOW BI Eu Usa 
=&gt;https://t.co/GnYsHG9wh3

@Action4Life_ #ClimateBreakdown #Commodities #Oil #AustralianBushfire @FarmersWeekly @FarmBureau @BigJoeBastardi @AndyOz2 https://t.co/CCmSoHUHWQ",2020/1/13 13:23
x902276340,x825783812227489794,marilynwinders,Jr3597,2020/1/13 13:32,"178/<U+0001F1E6><U+0001F1FA><U+0001F310> #AustralianBushfires
Free replacement passports for #bushfire Survivors

#AustralianFires #Resources #AustraliaBurning #DAT #Travel #BushFireCrisisAustralia
#AustralianBushfire #Australia
https://t.co/mgGpToKQJ1",2020/1/13 13:32
x3154207014,x825783812227489794,HumboldtBunny,Jr3597,2020/1/13 13:32,"178/<U+0001F1E6><U+0001F1FA><U+0001F310> #AustralianBushfires
Free replacement passports for #bushfire Survivors

#AustralianFires #Resources #AustraliaBurning #DAT #Travel #BushFireCrisisAustralia
#AustralianBushfire #Australia
https://t.co/mgGpToKQJ1",2020/1/13 13:32
x1212880906366504960,x825783812227489794,findabedAU,Jr3597,2020/1/13 13:32,"178/<U+0001F1E6><U+0001F1FA><U+0001F310> #AustralianBushfires
Free replacement passports for #bushfire Survivors

#AustralianFires #Resources #AustraliaBurning #DAT #Travel #BushFireCrisisAustralia
#AustralianBushfire #Australia
https://t.co/mgGpToKQJ1",2020/1/13 13:32
x62541585,x62541585,Piers_Corbyn,Piers_Corbyn,2020/1/13 13:40,"As #StormBrendan STRIKES
#PREPARE MORE EXTREMES
 
*NEW* DEALS 
HURRY *3FOR1* for 45d30d #Forecasts+more!
 
#SubscribeNOW BI Eu Usa 
=&gt;https://t.co/GnYsHG9wh3

#wx #snow @severeweatherEU #ClimateBreakdown #Oil #AustralianBushfire 
@WelshFarmhouse #Wales 
@FarmBureau @IndieFarm
RT https://t.co/TGD9YTKDfl",2020/1/13 13:40
