source,destination,timestamp,time
77,82,2,2020-01-01 01
77,86,2,2020-01-01 01
77,109,2,2020-01-01 01
77,111,2,2020-01-01 01
77,119,2,2020-01-01 01
77,126,2,2020-01-01 01
77,127,2,2020-01-01 01
77,137,2,2020-01-01 01
77,142,2,2020-01-01 01
77,144,2,2020-01-01 01
78,79,2,2020-01-01 01
78,83,2,2020-01-01 01
78,86,2,2020-01-01 01
78,89,2,2020-01-01 01
78,118,2,2020-01-01 01
78,122,2,2020-01-01 01
78,127,2,2020-01-01 01
78,130,2,2020-01-01 01
78,133,2,2020-01-01 01
79,133,2,2020-01-01 01
82,109,2,2020-01-01 01
82,118,2,2020-01-01 01
82,126,2,2020-01-01 01
82,137,2,2020-01-01 01
82,144,2,2020-01-01 01
83,92,2,2020-01-01 01
83,108,2,2020-01-01 01
83,111,2,2020-01-01 01
84,112,2,2020-01-01 01
84,113,2,2020-01-01 01
84,128,2,2020-01-01 01
84,137,2,2020-01-01 01
84,142,2,2020-01-01 01
84,144,2,2020-01-01 01
84,146,2,2020-01-01 01
85,128,2,2020-01-01 01
85,133,2,2020-01-01 01
86,108,2,2020-01-01 01
86,111,2,2020-01-01 01
89,138,2,2020-01-01 01
90,138,2,2020-01-01 01
91,109,2,2020-01-01 01
93,111,2,2020-01-01 01
94,118,2,2020-01-01 01
96,108,2,2020-01-01 01
99,111,2,2020-01-01 01
99,119,2,2020-01-01 01
102,117,2,2020-01-01 01
104,149,2,2020-01-01 01
108,111,2,2020-01-01 01
108,112,2,2020-01-01 01
108,146,2,2020-01-01 01
109,140,2,2020-01-01 01
110,143,2,2020-01-01 01
111,119,2,2020-01-01 01
111,123,2,2020-01-01 01
112,117,2,2020-01-01 01
112,118,2,2020-01-01 01
112,138,2,2020-01-01 01
112,144,2,2020-01-01 01
113,128,2,2020-01-01 01
113,144,2,2020-01-01 01
118,130,2,2020-01-01 01
119,140,2,2020-01-01 01
119,144,2,2020-01-01 01
126,144,2,2020-01-01 01
127,137,2,2020-01-01 01
127,139,2,2020-01-01 01
127,144,2,2020-01-01 01
130,133,2,2020-01-01 01
132,146,2,2020-01-01 01
133,138,2,2020-01-01 01
136,144,2,2020-01-01 01
137,144,2,2020-01-01 01
139,140,2,2020-01-01 01
140,144,2,2020-01-01 01
1,5,3,2020-01-01 02
1,111,3,2020-01-01 02
2,77,3,2020-01-01 02
2,140,3,2020-01-01 02
3,50,3,2020-01-01 02
3,63,3,2020-01-01 02
3,66,3,2020-01-01 02
3,136,3,2020-01-01 02
3,144,3,2020-01-01 02
6,59,3,2020-01-01 02
8,35,3,2020-01-01 02
8,61,3,2020-01-01 02
8,117,3,2020-01-01 02
10,50,3,2020-01-01 02
10,62,3,2020-01-01 02
10,77,3,2020-01-01 02
10,140,3,2020-01-01 02
12,57,3,2020-01-01 02
12,59,3,2020-01-01 02
12,62,3,2020-01-01 02
12,104,3,2020-01-01 02
12,106,3,2020-01-01 02
12,109,3,2020-01-01 02
13,39,3,2020-01-01 02
13,57,3,2020-01-01 02
13,68,3,2020-01-01 02
13,109,3,2020-01-01 02
13,126,3,2020-01-01 02
13,138,3,2020-01-01 02
14,57,3,2020-01-01 02
15,62,3,2020-01-01 02
15,146,3,2020-01-01 02
16,50,3,2020-01-01 02
16,52,3,2020-01-01 02
16,59,3,2020-01-01 02
16,65,3,2020-01-01 02
16,106,3,2020-01-01 02
16,118,3,2020-01-01 02
16,125,3,2020-01-01 02
16,126,3,2020-01-01 02
18,128,3,2020-01-01 02
19,59,3,2020-01-01 02
20,27,3,2020-01-01 02
21,77,3,2020-01-01 02
22,84,3,2020-01-01 02
22,146,3,2020-01-01 02
24,111,3,2020-01-01 02
26,27,3,2020-01-01 02
26,57,3,2020-01-01 02
26,59,3,2020-01-01 02
26,67,3,2020-01-01 02
26,68,3,2020-01-01 02
26,77,3,2020-01-01 02
26,108,3,2020-01-01 02
26,111,3,2020-01-01 02
26,119,3,2020-01-01 02
26,146,3,2020-01-01 02
27,50,3,2020-01-01 02
27,57,3,2020-01-01 02
27,59,3,2020-01-01 02
27,67,3,2020-01-01 02
27,74,3,2020-01-01 02
27,78,3,2020-01-01 02
27,83,3,2020-01-01 02
27,94,3,2020-01-01 02
27,103,3,2020-01-01 02
27,104,3,2020-01-01 02
27,119,3,2020-01-01 02
27,144,3,2020-01-01 02
29,63,3,2020-01-01 02
33,130,3,2020-01-01 02
35,108,3,2020-01-01 02
35,109,3,2020-01-01 02
35,136,3,2020-01-01 02
39,42,3,2020-01-01 02
39,67,3,2020-01-01 02
39,95,3,2020-01-01 02
39,138,3,2020-01-01 02
39,143,3,2020-01-01 02
40,77,3,2020-01-01 02
40,108,3,2020-01-01 02
40,111,3,2020-01-01 02
42,50,3,2020-01-01 02
42,52,3,2020-01-01 02
42,63,3,2020-01-01 02
42,96,3,2020-01-01 02
42,138,3,2020-01-01 02
43,63,3,2020-01-01 02
43,68,3,2020-01-01 02
43,78,3,2020-01-01 02
43,109,3,2020-01-01 02
43,115,3,2020-01-01 02
43,140,3,2020-01-01 02
46,63,3,2020-01-01 02
46,144,3,2020-01-01 02
48,77,3,2020-01-01 02
48,118,3,2020-01-01 02
50,58,3,2020-01-01 02
50,59,3,2020-01-01 02
50,62,3,2020-01-01 02
50,66,3,2020-01-01 02
50,74,3,2020-01-01 02
50,82,3,2020-01-01 02
50,93,3,2020-01-01 02
50,95,3,2020-01-01 02
50,101,3,2020-01-01 02
50,106,3,2020-01-01 02
50,119,3,2020-01-01 02
50,128,3,2020-01-01 02
50,129,3,2020-01-01 02
50,132,3,2020-01-01 02
50,139,3,2020-01-01 02
50,140,3,2020-01-01 02
50,144,3,2020-01-01 02
51,108,3,2020-01-01 02
52,59,3,2020-01-01 02
52,77,3,2020-01-01 02
52,98,3,2020-01-01 02
52,108,3,2020-01-01 02
52,144,3,2020-01-01 02
53,57,3,2020-01-01 02
53,63,3,2020-01-01 02
53,77,3,2020-01-01 02
53,110,3,2020-01-01 02
53,117,3,2020-01-01 02
53,136,3,2020-01-01 02
54,61,3,2020-01-01 02
54,63,3,2020-01-01 02
54,64,3,2020-01-01 02
54,67,3,2020-01-01 02
54,96,3,2020-01-01 02
54,108,3,2020-01-01 02
55,63,3,2020-01-01 02
56,63,3,2020-01-01 02
57,59,3,2020-01-01 02
57,67,3,2020-01-01 02
57,73,3,2020-01-01 02
57,78,3,2020-01-01 02
57,109,3,2020-01-01 02
57,112,3,2020-01-01 02
57,126,3,2020-01-01 02
57,138,3,2020-01-01 02
57,146,3,2020-01-01 02
58,77,3,2020-01-01 02
58,106,3,2020-01-01 02
59,62,3,2020-01-01 02
59,82,3,2020-01-01 02
59,102,3,2020-01-01 02
59,106,3,2020-01-01 02
59,109,3,2020-01-01 02
59,111,3,2020-01-01 02
59,126,3,2020-01-01 02
59,143,3,2020-01-01 02
59,144,3,2020-01-01 02
60,128,3,2020-01-01 02
61,65,3,2020-01-01 02
61,70,3,2020-01-01 02
61,86,3,2020-01-01 02
61,94,3,2020-01-01 02
61,102,3,2020-01-01 02
61,108,3,2020-01-01 02
61,109,3,2020-01-01 02
61,112,3,2020-01-01 02
61,117,3,2020-01-01 02
62,74,3,2020-01-01 02
62,104,3,2020-01-01 02
62,106,3,2020-01-01 02
62,138,3,2020-01-01 02
62,140,3,2020-01-01 02
62,146,3,2020-01-01 02
63,66,3,2020-01-01 02
63,77,3,2020-01-01 02
63,102,3,2020-01-01 02
63,119,3,2020-01-01 02
63,127,3,2020-01-01 02
63,136,3,2020-01-01 02
63,137,3,2020-01-01 02
63,139,3,2020-01-01 02
63,140,3,2020-01-01 02
63,143,3,2020-01-01 02
63,144,3,2020-01-01 02
64,65,3,2020-01-01 02
64,93,3,2020-01-01 02
64,108,3,2020-01-01 02
64,111,3,2020-01-01 02
65,103,3,2020-01-01 02
65,108,3,2020-01-01 02
65,128,3,2020-01-01 02
65,143,3,2020-01-01 02
65,144,3,2020-01-01 02
66,84,3,2020-01-01 02
67,138,3,2020-01-01 02
67,143,3,2020-01-01 02
68,78,3,2020-01-01 02
68,86,3,2020-01-01 02
68,89,3,2020-01-01 02
68,108,3,2020-01-01 02
70,142,3,2020-01-01 02
73,78,3,2020-01-01 02
73,128,3,2020-01-01 02
74,77,3,2020-01-01 02
74,78,3,2020-01-01 02
74,83,3,2020-01-01 02
74,111,3,2020-01-01 02
74,119,3,2020-01-01 02
74,140,3,2020-01-01 02
75,78,3,2020-01-01 02
75,138,3,2020-01-01 02
77,82,3,2020-01-01 02
77,86,3,2020-01-01 02
77,109,3,2020-01-01 02
77,111,3,2020-01-01 02
77,119,3,2020-01-01 02
77,126,3,2020-01-01 02
77,127,3,2020-01-01 02
77,137,3,2020-01-01 02
77,142,3,2020-01-01 02
77,144,3,2020-01-01 02
78,79,3,2020-01-01 02
78,83,3,2020-01-01 02
78,86,3,2020-01-01 02
78,89,3,2020-01-01 02
78,118,3,2020-01-01 02
78,122,3,2020-01-01 02
78,127,3,2020-01-01 02
78,130,3,2020-01-01 02
78,133,3,2020-01-01 02
79,133,3,2020-01-01 02
82,109,3,2020-01-01 02
82,118,3,2020-01-01 02
82,126,3,2020-01-01 02
82,137,3,2020-01-01 02
82,144,3,2020-01-01 02
83,92,3,2020-01-01 02
83,108,3,2020-01-01 02
83,111,3,2020-01-01 02
84,112,3,2020-01-01 02
84,113,3,2020-01-01 02
84,128,3,2020-01-01 02
84,137,3,2020-01-01 02
84,142,3,2020-01-01 02
84,144,3,2020-01-01 02
84,146,3,2020-01-01 02
85,128,3,2020-01-01 02
85,133,3,2020-01-01 02
86,108,3,2020-01-01 02
86,111,3,2020-01-01 02
89,138,3,2020-01-01 02
90,138,3,2020-01-01 02
91,109,3,2020-01-01 02
93,111,3,2020-01-01 02
94,118,3,2020-01-01 02
96,108,3,2020-01-01 02
99,111,3,2020-01-01 02
99,119,3,2020-01-01 02
102,117,3,2020-01-01 02
104,149,3,2020-01-01 02
108,111,3,2020-01-01 02
108,112,3,2020-01-01 02
108,146,3,2020-01-01 02
109,140,3,2020-01-01 02
110,143,3,2020-01-01 02
111,119,3,2020-01-01 02
111,123,3,2020-01-01 02
112,117,3,2020-01-01 02
112,118,3,2020-01-01 02
112,138,3,2020-01-01 02
112,144,3,2020-01-01 02
113,128,3,2020-01-01 02
113,144,3,2020-01-01 02
118,130,3,2020-01-01 02
119,140,3,2020-01-01 02
119,144,3,2020-01-01 02
126,144,3,2020-01-01 02
127,137,3,2020-01-01 02
127,139,3,2020-01-01 02
127,144,3,2020-01-01 02
130,133,3,2020-01-01 02
132,146,3,2020-01-01 02
133,138,3,2020-01-01 02
136,144,3,2020-01-01 02
137,144,3,2020-01-01 02
139,140,3,2020-01-01 02
140,144,3,2020-01-01 02
1,5,4,2020-01-01 03
1,111,4,2020-01-01 03
2,77,4,2020-01-01 03
2,140,4,2020-01-01 03
3,50,4,2020-01-01 03
